SOCCode	Title	Employment	Mean	Median	Entry	Experienced**				
13-1071	Human Resources Specialists	14710	70750	64720	42310	84970				
13-1075	Labor Relations Specialists	3540	74320	64040	43850	89550				
13-1081	Logisticians	890	72230	69740	45070	85810				
13-1111	Management Analysts	24770	110940	93950	59580	136620				
13-1121	"Meeting, Convention, and Event Planners*"	4700	60790	57780	36590	72900				
13-1131	Fundraisers	2780	62950	62660	36110	76370				
13-1141	"Compensation, Benefits, and Job Analysis Specialists"	6960	70250	68960	51540	79610				
13-1151	Training and Development Specialists	8210	67630	65820	36160	83370				
13-1161	Market Research Analysts and Marketing Specialists*	23250	75570	71480	45560	90580				
13-1199	"Business Operations Specialists, All Other*"	14230	82720	74520	48350	99900				
13-2011	Accountants and Auditors	50630	93850	83330	54940	113300				
13-2021	Appraisers and Assessors of Real Estate	440	82870	81850	56350	96130				
13-2031	Budget Analysts	1200	77100	73150	53700	88810				
13-2041	Credit Analysts	2750	114620	104800	67670	138100				
13-2051	Financial Analysts	25790	126710	107630	69390	155370				
13-2052	Personal Financial Advisors	19030	130110	106790	54880	167730				
13-2053	Insurance Underwriters	3880	93520	84060	57010	111780				
13-2061	Financial Examiners	1730	110630	96320	67060	132410				
13-2071	Credit Counselors	690	56130	49870	37620	65380				
13-2072	Loan Officers	9890	144970	131570	75890	179510				
13-2081	"Tax Examiners and Collectors, and Revenue Agents"	1390	81820	80660	56730	94360				
13-2099	"Financial Specialists, All Other"	6850	84870	77560	54870	99870				
15-0000	Computer and Mathematical Occupations	117910	94820	89080	55950	114250				
15-1111	Computer and Information Research Scientists	280	77060	68740	38440	96370				
15-1121	Computer Systems Analysts	17310	97100	91960	60820	115230				
15-1122	Information Security Analysts	2850	124770	119690	79200	147560				
15-1131	Computer Programmers	11970	90670	85370	59820	106090				
15-1132	"Software Developers, Applications"	25080	108440	105030	73790	125760				
15-1133	"Software Developers, Systems Software"	8130	106420	99830	75040	122110				
15-1134	Web Developers	5200	83730	80290	50080	100550				
15-1141	Database Administrators	3890	90260	87810	54400	108190				
15-1142	Network and Computer Systems Administrators*	11320	91860	87810	60180	107690				
15-1143	Computer Network Architects	3420	111930	108230	75710	130040				
15-1151	Computer User Support Specialists	16310	60140	57210	37580	71410				
15-1152	Computer Network Support Specialists	4080	77210	73400	48310	91670				
15-1199	"Computer Occupations, All Other"	2080	81220	81800	46500	98570				
15-2011	Actuaries	1940	142290	127750	70680	178090				
15-2031	Operations Research Analysts	3180	137720	123460	60820	176170				
15-2041	Statisticians	860	73120	68860	46600	86380				
17-0000	Architecture and Engineering Occupations	27520	82440	75970	51990	97660				
17-1011	"Architects, Except Landscape and Naval"	6270	84610	77100	53930	99950				
17-1012	Landscape Architects	310	71590	69800	53760	80500				
17-1021	Cartographers and Photogrammetrists		82190	86130	71230	87670				
17-1022	Surveyors		76760	72870	53370	88460				
17-2011	Aerospace Engineers		83150	79760	61660	93890				
17-2031	Biomedical Engineers		83600	80580	56880	96950				
17-2041	Chemical Engineers		113990	108350	69880	136040				
17-2051	Civil Engineers	5350	92370	85250	62860	107130				
17-2061	Computer Hardware Engineers		110630	103360	79570	126150				
17-2071	Electrical Engineers	2350	96580	95130	64950	112400				
17-2072	"Electronics Engineers, Except Computer"	440	89490	88720	69960	99260				
17-2081	Environmental Engineers	660	100070	100520	63260	118480				
17-2111	"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"	560	86330	78600	63470	97760				
17-2112	Industrial Engineers	540	90440	90510	60800	105260				
17-2121	Marine Engineers and Naval Architects		85860	86100	75890	90850				
17-2131	Materials Engineers		82420	83700	68130	89570				
17-2141	Mechanical Engineers	2020	90260	81760	61260	104760				
17-2151	"Mining and Geological Engineers, Including Mining Safety Engineers"		92580	90890	60910	108420				
17-2199	"Engineers, All Other"	790	102900	90590	62340	123180				
17-3011	Architectural and Civil Drafters	2810	58490	56060	41490	67000				
17-3012	Electrical and Electronics Drafters	710	65660	63730	45210	75890				
17-3013	Mechanical Drafters	590	59760	52430	35400	71930				
17-3019	"Drafters, All Other"		68220	74440	41790	81440				
17-3021	Aerospace Engineering and Operations Technicians		46890	51820	28480	56100				
17-3022	Civil Engineering Technicians	520	60640	58520	41200	70350				
17-3023	Electrical and Electronic Engineering Technicians	1270	70760	66940	54210	79030				
17-3025	Environmental Engineering Technicians	270	48800	45530	33950	56220				
17-3026	Industrial Engineering Technicians		62210	62990	43600	71510				
17-3027	Mechanical Engineering Technicians	250	56820	53830	39250	65600				
17-3029	"Engineering Technicians, Except Drafters, All Other"	390	55180	54390	42600	61470				
17-3031	Surveying and Mapping Technicians		45920	42500	29010	54370				
19-0000	"Life, Physical, and Social Science Occupations"	20980	73280	65490	38830	90510				
19-1012	Food Scientists and Technologists		76050	75160	47050	90550				
19-1013	Soil and Plant Scientists		64000	58660	40480	75760				
19-1021	Biochemists and Biophysicists	310	81850	76150	52960	96290				
19-1022	Microbiologists	360	87280	88450	57710	102060				
19-1023	Zoologists and Wildlife Biologists		62970	59840	50700	69100				
19-1041	Epidemiologists		64040	62490	53740	69190				
19-1042	"Medical Scientists, Except Epidemiologists"	2330	90010	78080	46820	111610				
19-1099	"Life Scientists, All Other"		77030	70780	56040	87530				
19-2012	Physicists		130850	120600	85870	153330				
19-2031	Chemists	1010	87120	80020	54650	103350				
19-2041	"Environmental Scientists and Specialists, Including Health"	560	79010	73930	44360	96330				
19-2042	"Geoscientists, Except Hydrologists and Geographers"		77730	71730	50790	91200				
19-2043	Hydrologists		69190	64440	51850	77860				
19-2099	"Physical Scientists, All Other"	300	110350	109430	79480	125790				
19-3011	Economists	340	123820	110370	66940	152270				
19-3022	Survey Researchers	480	67660	71580	42250	80370				
19-3031	"Clinical, Counseling, and School Psychologists"	4310	90570	85030	52870	109420				
19-3039	"Psychologists, All Other"		100280	106180	78230	111300				
19-3041	Sociologists		104910	104370	72180	121280				
19-3051	Urban and Regional Planners	640	71980	69610	52410	81760				
19-3091	Anthropologists and Archeologists		90230	93510	65030	102830				
19-3092	Geographers		93920	97000	77430	102170				
19-3093	Historians		63880	64180	36230	77710				
19-3094	Political Scientists		128150	120970	103870	140290				
19-3099	"Social Scientists and Related Workers, All Other"	1500	79790	78650	53490	92940				
19-4021	Biological Technicians	720	45270	45800	31450	52190				
19-4031	Chemical Technicians	800	48320	48150	33740	55610				
19-4061	Social Science Research Assistants	2610	39810	36920	23840	47790				
19-4091	"Environmental Science and Protection Technicians, Including Health"	320	46170	43400	29370	54570				
19-4099	"Life, Physical, and Social Science Technicians, All Other"	2380	50580	49940	33290	59230				
21-0000	Community and Social Services Occupations	76830	50130	45960	30970	59710				
21-1011	Substance Abuse and Behavioral Disorder Counselors	3600	47860	47480	35140	54220				
21-1012	"Educational, Guidance, School, and Vocational Counselors"	6900	64740	63540	35990	79120				
21-1013	Marriage and Family Therapists	520	41680	38630	27730	48650				
21-1014	Mental Health Counselors	2430	45060	42040	28370	53410				
21-1015	Rehabilitation Counselors	3930	37070	34640	25810	42710				
21-1019	"Counselors, All Other"	560	50080	46620	32300	58980				
21-1021	"Child, Family, and School Social Workers"	11110	55420	51530	37240	64510				
21-1022	Healthcare Social Workers	5450	60570	62590	41590	70060				
21-1023	Mental Health and Substance Abuse Social Workers	5210	50330	46160	35000	57990				
21-1029	"Social Workers, All Other"	3520	59420	58920	43340	67460				
21-1091	Health Educators	2640	49930	46250	33390	58210				
21-1092	Probation Officers and Correctional Treatment Specialists	1340	67830	67690	51540	75970				
21-1093	Social and Human Service Assistants	14820	36920	35510	26820	41980				
21-1094	Community Health Workers	640	33850	34920	17830	41860				
21-1099	"Community and Social Service Specialists, All Other"	9120	50030	47340	37430	56330				
21-2011	Clergy	3600	55240	44260	26180	69760				
21-2021	"Directors, Religious Activities and Education"	1150	48070	41170	24900	59660				
21-2099	"Religious Workers, All Other"		31090	28300	24090	34590				
23-0000	Legal Occupations	66040	137910	112990	55830	178950				
23-1011	Lawyers	46170	170760	161250	85390	>187200				
23-1021	"Administrative Law Judges, Adjudicators, and Hearing Officers"	890	91020	87640	77860	97600				
23-1022	"Arbitrators, Mediators, and Conciliators"	260	69750	55300	43660	82800				
23-1023	"Judges, Magistrate Judges, and Magistrates"	360	129020	133990	119560	133750				
23-2011	Paralegals and Legal Assistants*	15350	57020	54590	39750	65660				
23-2091	Court Reporters	650	89060	99850	58300	104430				
23-2093	"Title Examiners, Abstractors, and Searchers"		62480	52130	43400	72010				
23-2099	"Legal Support Workers, All Other"	1130	57460	54270	37870	67260				
25-0000	"Education, Training, and Library Occupations"	249280	69340	60860	31730	88140				
25-1011	"Business Teachers, Postsecondary"	3360	107540	83560	47460	137580				
25-1021	"Computer Science Teachers, Postsecondary"	880	102930	94140	59270	124760				
25-1022	"Mathematical Science Teachers, Postsecondary"	1830	109880	103540	58420	135610				
25-1031	"Architecture Teachers, Postsecondary"	370	105370	80910	54520	130790				
25-1032	"Engineering Teachers, Postsecondary"		102270	92760	61560	122620				
25-1042	"Biological Science Teachers, Postsecondary"	1330	106140	95670	60100	129160				
25-1051	"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"	470	120970	115110	62240	150340				
25-1052	"Chemistry Teachers, Postsecondary"	770	106140	98320	61800	128310				
25-1053	"Environmental Science Teachers, Postsecondary"		95660	83570	55250	115860				
25-1054	"Physics Teachers, Postsecondary"	530	107850	101780	64180	129680				
25-1061	"Anthropology and Archeology Teachers, Postsecondary"	340	119650	113980	75430	141760				
25-1062	"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"	780	115150	116400	59360	143050				
25-1063	"Economics Teachers, Postsecondary"	660	123450	118420	73110	148620				
25-1065	"Political Science Teachers, Postsecondary"	740	119550	116080	65560	146550				
25-1066	"Psychology Teachers, Postsecondary"	1230	92110	79610	46780	114780				
25-1067	"Sociology Teachers, Postsecondary"	660	96660	92790	57270	116350				
25-1069	"Social Sciences Teachers, Postsecondary, All Other"	820	111900	92730	55070	140310				
25-1071	"Health Specialties Teachers, Postsecondary"	4990	132370	124880	63440	166840				
25-1072	"Nursing Instructors and Teachers, Postsecondary"	1340	89540	85860	54580	107020				
25-1081	"Education Teachers, Postsecondary"	2160	95080	79720	50430	117400				
25-1082	"Library Science Teachers, Postsecondary"	260	87730	78380	63100	100040				
25-1113	"Social Work Teachers, Postsecondary"	660	61970	57200	46170	69870				
25-1121	"Art, Drama, and Music Teachers, Postsecondary"	6680	126570	113170	59990	159860				
25-1122	"Communications Teachers, Postsecondary"	1010	91090	79350	49730	111770				
25-1123	"English Language and Literature Teachers, Postsecondary"	3130	110030	98540	55410	137350				
25-1124	"Foreign Language and Literature Teachers, Postsecondary"	1320	104590	91430	53270	130250				
25-1125	"History Teachers, Postsecondary"	770	111870	95580	62630	136480				
25-1126	"Philosophy and Religion Teachers, Postsecondary"	1010	97740	83950	55270	118980				
25-1191	Graduate Teaching Assistants	1080	34100	33000	20100	41100				
25-1193	"Recreation and Fitness Studies Teachers, Postsecondary"	450	93650	74470	45870	117530				
25-1194	"Vocational Education Teachers, Postsecondary"	2340	75420	68310	45350	90460				
25-1199	"Postsecondary Teachers, All Other"	8300	101730	95050	54060	125560				
25-2011	"Preschool Teachers, Except Special Education"	10950	49600	43310	26930	60930				
25-2022	"Middle School Teachers, Except Special and Career/Technical Education"	13220	71720	70110	50540	82310				
25-2023	"Career/Technical  Education Teachers, Middle School"		70340	70140	41070	84970				
25-2051	"Special Education Teachers, Preschool"	2610	83300	60730	47710	101090				
25-2059	"Special Education Teachers, All Other"		57620	54240	38810	67020				
25-3011	Adult Basic and Secondary Education and Literacy Teachers and Instructors	3010	58890	54970	35170	70750				
25-3021	Self-Enrichment Education Teachers	12240	58470	51230	24870	75270				
25-3099	"Teachers and Instructors, All Other"	10800	71770	43530	25010	95140				
25-4011	Archivists	580	56560	53800	39210	65230				
25-4012	Curators	670	84080	80130	46890	102680				
25-4013	Museum Technicians and Conservators	690	55990	51720	34910	66540				
25-4021	Librarians	3460	66190	62480	50010	74280				
25-4031	Library Technicians	2440	35780	37910	17650	44850				
25-9011	Audio-Visual and Multimedia Collections Specialists	260	54290	50750	36260	63310				
25-9031	Instructional Coordinators	3600	59620	54660	34520	72160				
25-9041	Teacher Assistants	40830	29420	29870	20970	33650				
25-9099	"Education, Training, and Library Workers, All Other"	1220	43820	34670	17410	57020				
27-0000	"Arts, Design, Entertainment, Sports, and Media Occupations"	128710	79460	66000	35810	101290				
27-1011	Art Directors	5510	134730	128090	76420	163880				
27-1012	Craft Artists		43480	33030	17320	56550				
27-1013	"Fine Artists, Including Painters, Sculptors, and Illustrators"	930	70150	57290	33380	88530				
27-1014	Multimedia Artists and Animators	2140	74510	69940	45170	89180				
27-1019	"Artists and Related Workers, All Other"	390	80490	85930	49320	96070				
27-1021	Commercial and Industrial Designers	840	71350	71100	45570	84240				
27-1022	Fashion Designers	6910	80750	68820	42700	99780				
27-1023	Floral Designers	1020	34220	35320	20420	41130				
27-1024	Graphic Designers	12010	65720	62640	38650	79250				
27-1025	Interior Designers	2100	69850	65940	47280	81140				
27-1026	Merchandise Displayers and Window Trimmers	2100	40990	37080	25550	48700				
27-1027	Set and Exhibit Designers	600	90080	79490	48720	110760				
27-1029	"Designers, All Other"	500	55740	52250	25430	70900				
27-2012	Producers and Directors	13100	118730	100530	51830	152180				
27-2022	Coaches and Scouts	2430	46280	40000	23950	57440				
27-2032	Choreographers		79000	75710	56480	90270				
27-2041	Music Directors and Composers	1030	86120	71790	35680	111340				
27-3011	Radio and Television Announcers	1000	58800	36790	18540	78930				
27-3012	Public Address System and Other Announcers	340	51180	52670	33610	59960				
27-3021	Broadcast News Analysts	260	115160	81380	45610	149940				
27-3022	Reporters and Correspondents	3030	71300	56490	33540	90170				
27-3031	Public Relations Specialists	14790	71840	63110	40120	87700				
27-3041	Editors	15590	84850	69410	41040	106750				
27-3042	Technical Writers	950	73830	74050	40290	90610				
27-3043	Writers and Authors	5340	87580	72060	42670	110040				
27-3091	Interpreters and Translators	2310	62760	61140	41470	73410				
27-3099	"Media and Communication Workers, All Other"	1400	51680	49610	28960	63040				
27-4011	Audio and Video Equipment Technicians	4810	59030	55340	35550	70780				
27-4012	Broadcast Technicians	2980	56310	54950	32500	68210				
27-4014	Sound Engineering Technicians	2540	64690	56990	31980	81050				
27-4021	Photographers	2710	54970	45040	25150	69880				
27-4031	"Camera Operators, Television, Video, and Motion Picture"	1490	56330	46890	26340	71320				
27-4032	Film and Video Editors	3650	80700	71340	43320	99390				
27-4099	"Media and Communication Equipment Workers, All Other"	1020	82960	90310	44730	102080				
29-0000	Healthcare Practitioners and Technical Occupations	190410	89700	77850	49660	109720				
29-1011	Chiropractors	360	101490	85040	68770	117840				
29-1021	"Dentists, General"	3340	142250	138550	92390	167180				
29-1022	Oral and Maxillofacial Surgeons		>187200	>187200	n/a	n/a				
29-1024	Prosthodontists		161950	160840	89200	>187200				
29-1029	"Dentists, All Other Specialists"		118880	122010	60840	147900				
29-1031	Dietitians and Nutritionists	1770	60400	59070	47180	67010				
29-1041	Optometrists	850	133420	110060	80200	160030				
29-1051	Pharmacists	8340	117850	113890	93960	129800				
29-1061	Anesthesiologists	1160	>187200	>187200	136580	n/a				
29-1062	Family and General Practitioners	880	158970	153950	87800	>187200				
29-1063	"Internists, General"	1880	146670	139910	71460	184270				
29-1064	Obstetricians and Gynecologists	490	184480	>187200	67690	>187200				
29-1065	"Pediatricians, General"	1020	162340	150560	94710	>187200				
29-1066	Psychiatrists	2070	163440	166220	77080	>187200				
29-1067	Surgeons	970	>187200	>187200	80090	n/a				
29-1069	"Physicians and Surgeons, All Other"	21670	146100	125460	63440	>187200				
29-1071	Physician Assistants	3600	100090	97980	81330	109470				
29-1081	Podiatrists	540	116020	111110	83980	132040				
29-1122	Occupational Therapists	2810	80520	75270	64190	88680				
29-1123	Physical Therapists	5230	82970	81120	64850	92040				
29-1124	Radiation Therapists	1110	91240	90360	60590	106570				
29-1125	Recreational Therapists	920	55580	56820	39320	63710				
29-1126	Respiratory Therapists	2150	70020	70200	63060	73500				
29-1127	Speech-Language Pathologists	2400	87670	75840	55520	103750				
29-1128	"Therapists, All Other*"		79210	76970	59650	88990				
29-1129	"Therapists, All Other"	420	62410	58410	46130	70540				
29-1131	Veterinarians	440	127940	124440	88490	147660				
29-1141	Registered Nurses	65340	85210	84950	66040	94790				
29-1151	Nurse Anesthetists	310	167340	153390	134600	183710				
29-1161	Nurse Midwives	270	99570	100580	81030	108830				
29-1171	Nurse Practitioners	2860	106010	107780	84680	116680				
29-1199	"Health Diagnosing and Treating Practitioners, All Other"	890	99040	90400	61570	117770				
29-2011	Medical and Clinical Laboratory Technologists	4370	65040	64500	51430	71850				
29-2012	Medical and Clinical Laboratory Technicians	2790	47690	45720	35770	53650				
29-2021	Dental Hygienists	1900	74880	76050	60930	81850				
29-2031	Cardiovascular Technologists and Technicians	840	54230	50150	38790	61950				
29-2032	Diagnostic Medical Sonographers	1300	66880	67190	54630	73010				
29-2033	Nuclear Medicine Technologists	370	79170	76470	66790	85350				
29-2034	Radiologic Technologists and Technicians	4170	70370	70390	56420	77350				
29-2035	Magnetic Resonance Imaging Technologists	650	82530	83080	64510	91550				
29-2041	Emergency Medical Technicians and Paramedics	6440	44610	45720	28900	52470				
29-2051	Dietetic Technicians		40860	40290	35040	43770				
29-2052	Pharmacy Technicians	6450	34760	35020	24420	39930				
29-2053	Psychiatric Technicians	570	42930	43340	32840	47970				
29-2054	Respiratory Therapy Technicians		57770	57820	43840	64740				
29-2055	Surgical Technologists	2180	49320	47570	35020	56470				
29-2056	Veterinary Technologists and Technicians	420	46070	46900	32790	52710				
29-2057	Ophthalmic Medical Technicians	450	45920	40420	29910	53920				
29-2061	Licensed Practical and Licensed Vocational Nurses	13810	50150	51570	39540	55450				
29-2071	Medical Records and Health Information Technicians	3710	44390	42840	32990	50100				
29-2081	"Opticians, Dispensing"	580	50020	50150	40990	54530				
29-2091	Orthotists and Prosthetists		63580	62690	42630	74050				
29-2099	"Health Technologists and Technicians, All Other"	1480	49060	45170	35020	56080				
29-9011	Occupational Health and Safety Specialists	1130	73930	75220	46450	87670				
29-9012	Occupational Health and Safety Technicians	530	55150	54500	46010	59710				
29-9091	Athletic Trainers	370	56850	58090	29810	70370				
29-9092	Genetic Counselors		70700	69510	55040	78530				
29-9099	"Healthcare Practitioners and Technical Workers, All Other"	860	78020	74340	56030	89010				
31-0000	Healthcare Support Occupations	149960	27770	24330	16980	33160				
31-1011	Home Health Aides	79410	20120	19020	16910	21730				
31-1013	Psychiatric Aides	2300	39600	39990	32020	43390				
31-1014	Nursing Assistants	39000	35100	35410	29060	38120				
31-1015	Orderlies	1800	32980	34210	26010	36470				
31-2011	Occupational Therapy Assistants	390	54500	54700	44130	59690				
31-2012	Occupational Therapy Aides		30840	28190	21070	35730				
31-2021	Physical Therapist Assistants	1100	57190	58740	44060	63760				
31-2022	Physical Therapist Aides	1150	26770	26280	18910	30700				
31-9011	Massage Therapists	1320	63870	61070	37740	76940				
31-9091	Dental Assistants	6200	36280	35250	29410	39720				
31-9092	Medical Assistants	9510	34410	33500	25420	38900				
31-9093	Medical Equipment Preparers	790	41790	38530	34590	45390				
31-9094	Medical Transcriptionists	1050	42590	42530	35030	46370				
31-9095	Pharmacy Aides	660	22570	19280	16910	25390				
31-9096	Veterinary Assistants and Laboratory Animal Caretakers	610	33400	30940	25170	37510				
31-9097	Phlebotomists	1720	41210	38340	33210	45200				
31-9099	"Healthcare Support Workers, All Other"	2830	38030	36410	30730	41690				
33-0000	Protective Service Occupations	143790	52180	43430	24220	66160				
33-1011	First-Line Supervisors of Correctional Officers	970	98530	100010	81610	106990				
33-1012	First-Line Supervisors of Police and Detectives	7190	106160	106090	87580	115450				
33-1021	First-Line Supervisors of Fire Fighting and Prevention Workers	2250	108790	108490	96470	114950				
33-1099	"First-Line Supervisors of Protective Service Workers, All Other"	3800	55200	52600	37690	63960				
33-2011	Firefighters	7440	80520	84530	71830	84870				
33-2021	Fire Inspectors and Investigators	420	62080	56090	43330	71450				
33-3011	Bailiffs	1970	63140	65470	53020	68200				
33-3012	Correctional Officers and Jailers	7890	73320	80510	51800	84080				
33-3021	Detectives and Criminal Investigators	5440	82320	81880	46260	100350				
33-3051	Police and Sheriff's Patrol Officers	28690	68640	78980	43940	80990				
33-9021	Private Detectives and Investigators		52490	51660	42650	57400				
33-9031	Gaming Surveillance Officers and Gaming Investigators		40540	37850	27030	47290				
33-9032	Security Guards	61560	30600	28350	19280	36260				
33-9091	Crossing Guards	6840	32230	32880	27110	34800				
33-9092	"Lifeguards, Ski Patrol, and Other Recreational Protective Service"	2850	23370	22460	19050	25530				
33-9093	Transportation Security Screeners* (federal only)	2900	38730	38560	33280	41450				
33-9099	"Protective Service Workers, All Other *"	1460	36290	34030	25190	41840				
35-0000	Food Preparation and Serving Related Occupations	268490	25690	21040	16930	30070				
35-1011	Chefs and Head Cooks	3510	68670	63090	43790	81110				
35-1012	First-Line Supervisors of Food Preparation and Serving Workers	16050	39380	36400	25680	46230				
35-2011	"Cooks, Fast Food"	4070	22580	22620	18080	24840				
35-2012	"Cooks, Institution and Cafeteria"	6590	32490	30980	24420	36520				
35-2014	"Cooks, Restaurant"	26700	28900	26440	20050	33330				
35-2015	"Cooks, Short Order"	2860	23830	22730	17890	26800				
35-2019	"Cooks, All Other"	380	26900	26520	19410	30640				
35-2021	Food Preparation Workers	24780	25470	25440	17580	29410				
35-3011	Bartenders	14230	25610	21450	16950	29930				
35-3021	"Combined Food Preparation and Serving Workers, Including Fast Food"	59840	19070	18440	16920	20150				
35-3022	"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop"	9200	20700	18610	17020	22530				
35-3031	Waiters and Waitresses	57830	25520	19290	16920	29830				
35-3041	"Food Servers, Nonrestaurant"	8460	36190	35490	26770	40900				
35-9011	Dining Room and Cafeteria Attendants and Bartender Helpers	14220	21790	18610	16900	24230				
35-9021	Dishwashers	13070	19970	18580	16890	21510				
35-9031	"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"	6400	27470	26120	18460	31970				
35-9099	"Food Preparation and Serving Related Workers, All Other"	330	40000	40360	23870	48070				
37-0000	Building and Grounds Cleaning and Maintenance Occupations	131990	35250	35410	21380	42180				
37-1011	First-Line Supervisors of Housekeeping and Janitorial Workers	6210	52140	52570	37570	59420				
37-1012	"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"	760	60680	61810	45750	68140				
37-2011	"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"	88180	33070	33420	20430	39390				
37-2012	Maids and Housekeeping Cleaners	27560	38030	38180	24480	44800				
37-2021	Pest Control Workers	1380	39990	42930	23170	48400				
37-3011	Landscaping and Groundskeeping Workers	6020	35700	35460	22620	42240				
37-3013	Tree Trimmers and Pruners		54070	54610	53040	54590				
39-0000	Personal Care and Service Occupations	172670	28370	23530	18940	33090				
39-1021	First-Line Supervisors of Personal Service Workers	5920	46330	42750	31710	53630				
39-2011	Animal Trainers		38750	38170	21910	47160				
39-2021	Nonfarm Animal Caretakers	1880	28920	27820	18780	33990				
39-3021	Motion Picture Projectionists		38490	35980	23550	45960				
39-3031	"Ushers, Lobby Attendants, and Ticket Takers"	5350	27800	24980	18020	32690				
39-3091	Amusement and Recreation Attendants	6220	23180	22300	17370	26080				
39-3092	Costume Attendants	1000	77730	69100	48020	92580				
39-3093	"Locker Room, Coatroom, and Dressing Room Attendants"	820	27550	24160	17490	32570				
39-3099	"Entertainment Attendants and Related Workers, All Other"		42670	43960	35490	46270				
39-4031	"Morticians, Undertakers, and Funeral Directors"	650	44740	43660	25530	54340				
39-5011	Barbers		24690	22480	16690	28690				
39-5012	"Hairdressers, Hairstylists, and Cosmetologists"	8310	35240	24540	19610	43060				
39-5091	"Makeup Artists, Theatrical and Performance"	360	97200	88140	40770	125410				
39-5092	Manicurists and Pedicurists	7900	19050	18380	16880	20130				
39-5093	Shampooers	1140	18350	18320	16910	19060				
39-5094	Skincare Specialists	1190	37420	33280	23210	44520				
39-6011	Baggage Porters and Bellhops	3520	30700	28620	21390	35360				
39-6012	Concierges	3250	42760	43450	35600	46340				
39-7011	Tour Guides and Escorts	1070	34760	34320	23130	40580				
39-7012	Travel Guides		42670	42560	36690	45660				
39-9011	Childcare Workers	31820	26150	26710	19360	29550				
39-9021	Personal Care Aides	71600	22310	21970	19060	23940				
39-9031	Fitness Trainers and Aerobics Instructors	6380	67500	67570	33320	84590				
39-9032	Recreation Workers	10190	32170	30770	19180	38670				
39-9041	Residential Advisors	1380	29660	28380	22300	33350				
39-9099	"Personal Care and Service Workers, All Other"	1530	32020	31060	18600	38730				
41-0000	Sales and Related Occupations	386570	62660	36310	18560	84710				
41-1011	First-Line Supervisors of Retail Sales Workers	20370	47790	43640	27590	57890				
41-1012	First-Line Supervisors of Non-Retail Sales Workers	10750	132810	118230	63710	167360				
41-2011	Cashiers	70710	21250	18850	17050	23360				
