ID	TEXT	OCCUPATIONID	FAQ_QUESTIONSOURCEID
636767	Where can I get help on Immigration issues?	5	5023
636768	Where is most of the hiring?	5	5023
636769	Do I have to join a union? How do I join a Union?	5	5023
636770	What can I do about Financial Aid?	5	5023
636771	Whats the best way to apply?	5	5023
636772	Whats the best way to network?	5	5023
636773	Where can I go for more assistance?	5	5023
636774	How do I become a  Construction Managers	6	5023
636775	What education do I need and how do I get it (what schools/training program do you recommend)?	6	5023
636776	What skills do I need and how do I get  them?	6	5023
636777	Where can I get help on Immigration issues?	6	5023
636778	Where is most of the hiring?	6	5023
636779	Do I have to join a union? How do I join a Union?	6	5023
636780	What can I do about Financial Aid?	6	5023
636781	Whats the best way to apply?	6	5023
636782	Whats the best way to network?	6	5023
636783	Where can I go for more assistance?	6	5023
636784	"How do I become a  Elementary, Middle, and High School Principals"	7	5023
636785	What education do I need and how do I get it (what schools/training program do you recommend)?	7	5023
636786	What skills do I need and how do I get  them?	7	5023
636787	Where can I get help on Immigration issues?	7	5023
636788	Where is most of the hiring?	7	5023
636789	Do I have to join a union? How do I join a Union?	7	5023
636790	What can I do about Financial Aid?	7	5023
636791	Whats the best way to apply?	7	5023
636792	Whats the best way to network?	7	5023
636793	Where can I go for more assistance?	7	5023
636794	"How do I become a  Farmers, Ranchers, and Other Agricultural Managers"	8	5023
636795	What education do I need and how do I get it (what schools/training program do you recommend)?	8	5023
636796	What skills do I need and how do I get  them?	8	5023
636797	Where can I get help on Immigration issues?	8	5023
636798	Where is most of the hiring?	8	5023
636799	Do I have to join a union? How do I join a Union?	8	5023
636800	What can I do about Financial Aid?	8	5023
636801	Whats the best way to apply?	8	5023
636802	Whats the best way to network?	8	5023
636803	Where can I go for more assistance?	8	5023
636804	How do I become a  Financial Managers	9	5023
636805	What education do I need and how do I get it (what schools/training program do you recommend)?	9	5023
636806	What skills do I need and how do I get  them?	9	5023
636807	Where can I get help on Immigration issues?	9	5023
636808	Where is most of the hiring?	9	5023
636809	Do I have to join a union? How do I join a Union?	9	5023
636810	What can I do about Financial Aid?	9	5023
636811	Whats the best way to apply?	9	5023
636812	Whats the best way to network?	9	5023
636813	Where can I go for more assistance?	9	5023
636814	How do I become a  Food Service Managers	10	5023
636815	What education do I need and how do I get it (what schools/training program do you recommend)?	10	5023
636816	What skills do I need and how do I get  them?	10	5023
636817	Where can I get help on Immigration issues?	10	5023
636818	Where is most of the hiring?	10	5023
636819	Do I have to join a union? How do I join a Union?	10	5023
636820	What can I do about Financial Aid?	10	5023
636821	Whats the best way to apply?	10	5023
636822	Whats the best way to network?	10	5023
636823	Where can I go for more assistance?	10	5023
636824	How do I become a  Gaming Services Occupations	11	5023
636825	What education do I need and how do I get it (what schools/training program do you recommend)?	11	5023
636826	What skills do I need and how do I get  them?	11	5023
636827	Where can I get help on Immigration issues?	11	5023
636828	Where is most of the hiring?	11	5023
636829	Do I have to join a union? How do I join a Union?	11	5023
636830	What can I do about Financial Aid?	11	5023
636831	Whats the best way to apply?	11	5023
636832	Whats the best way to network?	11	5023
636833	Where can I go for more assistance?	11	5023
636834	How do I become a  Human Resources Managers	12	5023
636835	What education do I need and how do I get it (what schools/training program do you recommend)?	12	5023
636836	What skills do I need and how do I get  them?	12	5023
636837	Where can I get help on Immigration issues?	12	5023
636838	Where is most of the hiring?	12	5023
636839	Do I have to join a union? How do I join a Union?	12	5023
636840	What can I do about Financial Aid?	12	5023
636841	Whats the best way to apply?	12	5023
636842	Whats the best way to network?	12	5023
636843	Where can I go for more assistance?	12	5023
636844	How do I become a  Industrial Production Managers	13	5023
636845	What education do I need and how do I get it (what schools/training program do you recommend)?	13	5023
636846	What skills do I need and how do I get  them?	13	5023
636847	Where can I get help on Immigration issues?	13	5023
636848	Where is most of the hiring?	13	5023
636849	Do I have to join a union? How do I join a Union?	13	5023
636850	What can I do about Financial Aid?	13	5023
636851	Whats the best way to apply?	13	5023
636852	Whats the best way to network?	13	5023
636853	Where can I go for more assistance?	13	5023
636854	How do I become a  Legislators	14	5023
636855	What education do I need and how do I get it (what schools/training program do you recommend)?	14	5023
636856	What skills do I need and how do I get  them?	14	5023
636857	Where can I get help on Immigration issues?	14	5023
636858	Where is most of the hiring?	14	5023
636859	Do I have to join a union? How do I join a Union?	14	5023
636860	What can I do about Financial Aid?	14	5023
636861	Whats the best way to apply?	14	5023
636862	Whats the best way to network?	14	5023
636863	Where can I go for more assistance?	14	5023
636864	How do I become a  Lodging Managers	15	5023
636865	What education do I need and how do I get it (what schools/training program do you recommend)?	15	5023
636866	What skills do I need and how do I get  them?	15	5023
636867	Where can I get help on Immigration issues?	15	5023
636868	Where is most of the hiring?	15	5023
636869	Do I have to join a union? How do I join a Union?	15	5023
636870	What can I do about Financial Aid?	15	5023
636871	Whats the best way to apply?	15	5023
636872	Whats the best way to network?	15	5023
636873	Where can I go for more assistance?	15	5023
636874	How do I become a  Medical and Health Services Managers	16	5023
636875	What education do I need and how do I get it (what schools/training program do you recommend)?	16	5023
636876	What skills do I need and how do I get  them?	16	5023
636877	Where can I get help on Immigration issues?	16	5023
636878	Where is most of the hiring?	16	5023
636879	Do I have to join a union? How do I join a Union?	16	5023
636880	What can I do about Financial Aid?	16	5023
636881	Whats the best way to apply?	16	5023
636882	Whats the best way to network?	16	5023
636883	Where can I go for more assistance?	16	5023
636884	How do I become a  Natural Sciences Managers	17	5023
636885	What education do I need and how do I get it (what schools/training program do you recommend)?	17	5023
636886	What skills do I need and how do I get  them?	17	5023
636887	Where can I get help on Immigration issues?	17	5023
636888	Where is most of the hiring?	17	5023
636889	Do I have to join a union? How do I join a Union?	17	5023
636890	What can I do about Financial Aid?	17	5023
636891	Whats the best way to apply?	17	5023
636892	Whats the best way to network?	17	5023
636893	Where can I go for more assistance?	17	5023
636894	How do I become a  Postsecondary Education Administrators	18	5023
636895	What education do I need and how do I get it (what schools/training program do you recommend)?	18	5023
636896	What skills do I need and how do I get  them?	18	5023
636897	Where can I get help on Immigration issues?	18	5023
636898	Where is most of the hiring?	18	5023
636899	Do I have to join a union? How do I join a Union?	18	5023
636900	What can I do about Financial Aid?	18	5023
636901	Whats the best way to apply?	18	5023
636902	Whats the best way to network?	18	5023
636903	Where can I go for more assistance?	18	5023
636904	How do I become a  Preschool and Childcare Center Directors	19	5023
636905	What education do I need and how do I get it (what schools/training program do you recommend)?	19	5023
636906	What skills do I need and how do I get  them?	19	5023
636907	Where can I get help on Immigration issues?	19	5023
636908	Where is most of the hiring?	19	5023
636909	Do I have to join a union? How do I join a Union?	19	5023
636910	What can I do about Financial Aid?	19	5023
636911	Whats the best way to apply?	19	5023
636912	Whats the best way to network?	19	5023
636913	Where can I go for more assistance?	19	5023
636914	"How do I become a  Property, Real Estate, and Community Association Managers"	20	5023
636915	What education do I need and how do I get it (what schools/training program do you recommend)?	20	5023
636916	What skills do I need and how do I get  them?	20	5023
636917	Where can I get help on Immigration issues?	20	5023
636918	Where is most of the hiring?	20	5023
636919	Do I have to join a union? How do I join a Union?	20	5023
636920	What can I do about Financial Aid?	20	5023
636921	Whats the best way to apply?	20	5023
636922	Whats the best way to network?	20	5023
636923	Where can I go for more assistance?	20	5023
636924	How do I become a  Public Relations Managers and Specialists	21	5023
636925	What education do I need and how do I get it (what schools/training program do you recommend)?	21	5023
636926	What skills do I need and how do I get  them?	21	5023
636927	Where can I get help on Immigration issues?	21	5023
636928	Where is most of the hiring?	21	5023
636929	Do I have to join a union? How do I join a Union?	21	5023
636930	What can I do about Financial Aid?	21	5023
636931	Whats the best way to apply?	21	5023
636932	Whats the best way to network?	21	5023
636933	Where can I go for more assistance?	21	5023
636934	"How do I become a  Purchasing Managers, Buyers, and Purchasing Agents"	22	5023
636935	What education do I need and how do I get it (what schools/training program do you recommend)?	22	5023
636936	What skills do I need and how do I get  them?	22	5023
636937	Where can I get help on Immigration issues?	22	5023
636938	Where is most of the hiring?	22	5023
636939	Do I have to join a union? How do I join a Union?	22	5023
636940	What can I do about Financial Aid?	22	5023
636941	Whats the best way to apply?	22	5023
636942	Whats the best way to network?	22	5023
636943	Where can I go for more assistance?	22	5023
636944	How do I become a  Sales Managers	23	5023
636945	What education do I need and how do I get it (what schools/training program do you recommend)?	23	5023
636946	What skills do I need and how do I get  them?	23	5023
636947	Where can I get help on Immigration issues?	23	5023
636948	Where is most of the hiring?	23	5023
636949	Do I have to join a union? How do I join a Union?	23	5023
636950	What can I do about Financial Aid?	23	5023
636951	Whats the best way to apply?	23	5023
636952	Whats the best way to network?	23	5023
636953	Where can I go for more assistance?	23	5023
636954	How do I become a  Social and Community Service Managers	24	5023
636955	What education do I need and how do I get it (what schools/training program do you recommend)?	24	5023
636956	What skills do I need and how do I get  them?	24	5023
636957	Where can I get help on Immigration issues?	24	5023
636958	Where is most of the hiring?	24	5023
636959	Do I have to join a union? How do I join a Union?	24	5023
636960	What can I do about Financial Aid?	24	5023
636961	Whats the best way to apply?	24	5023
636962	Whats the best way to network?	24	5023
636963	Where can I go for more assistance?	24	5023
636964	How do I become a  Top Executives	25	5023
636965	What education do I need and how do I get it (what schools/training program do you recommend)?	25	5023
636966	What skills do I need and how do I get  them?	25	5023
636967	Where can I get help on Immigration issues?	25	5023
636968	Where is most of the hiring?	25	5023
636969	Do I have to join a union? How do I join a Union?	25	5023
636970	What can I do about Financial Aid?	25	5023
636971	Whats the best way to apply?	25	5023
636972	Whats the best way to network?	25	5023
636973	Where can I go for more assistance?	25	5023
636974	How do I become a  Training and Development Managers	26	5023
636975	What education do I need and how do I get it (what schools/training program do you recommend)?	26	5023
636976	What skills do I need and how do I get  them?	26	5023
636977	Where can I get help on Immigration issues?	26	5023
636978	Where is most of the hiring?	26	5023
636979	Do I have to join a union? How do I join a Union?	26	5023
636980	What can I do about Financial Aid?	26	5023
636981	Whats the best way to apply?	26	5023
636982	Whats the best way to network?	26	5023
636983	Where can I go for more assistance?	26	5023
636984	How do I become a  Accountants and Auditors	27	5023
636985	What education do I need and how do I get it (what schools/training program do you recommend)?	27	5023
636986	What skills do I need and how do I get  them?	27	5023
636987	Where can I get help on Immigration issues?	27	5023
636988	Where is most of the hiring?	27	5023
636989	Do I have to join a union? How do I join a Union?	27	5023
636990	What can I do about Financial Aid?	27	5023
636991	Whats the best way to apply?	27	5023
636992	Whats the best way to network?	27	5023
636993	Where can I go for more assistance?	27	5023
636994	How do I become a  Appraisers and Assessors of Real Estate	28	5023
636995	What education do I need and how do I get it (what schools/training program do you recommend)?	28	5023
636996	What skills do I need and how do I get  them?	28	5023
636997	Where can I get help on Immigration issues?	28	5023
636998	Where is most of the hiring?	28	5023
636999	Do I have to join a union? How do I join a Union?	28	5023
637000	What can I do about Financial Aid?	28	5023
637001	Whats the best way to apply?	28	5023
637002	Whats the best way to network?	28	5023
637003	Where can I go for more assistance?	28	5023
637004	How do I become a  Budget Analysts	29	5023
637005	What education do I need and how do I get it (what schools/training program do you recommend)?	29	5023
637006	What skills do I need and how do I get  them?	29	5023
637007	Where can I get help on Immigration issues?	29	5023
637008	Where is most of the hiring?	29	5023
637009	Do I have to join a union? How do I join a Union?	29	5023
637010	What can I do about Financial Aid?	29	5023
637011	Whats the best way to apply?	29	5023
637012	Whats the best way to network?	29	5023
637013	Where can I go for more assistance?	29	5023
637014	"How do I become a  Claims Adjusters, Appraisers, Examiners, and Investigators"	30	5023
637015	What education do I need and how do I get it (what schools/training program do you recommend)?	30	5023
637016	What skills do I need and how do I get  them?	30	5023
637017	Where can I get help on Immigration issues?	30	5023
637018	Where is most of the hiring?	30	5023
637019	Do I have to join a union? How do I join a Union?	30	5023
637020	What can I do about Financial Aid?	30	5023
637021	Whats the best way to apply?	30	5023
637022	Whats the best way to network?	30	5023
637023	Where can I go for more assistance?	30	5023
637024	How do I become a  Cost Estimators	31	5023
637025	What education do I need and how do I get it (what schools/training program do you recommend)?	31	5023
637026	What skills do I need and how do I get  them?	31	5023
637027	Where can I get help on Immigration issues?	31	5023
637028	Where is most of the hiring?	31	5023
637029	Do I have to join a union? How do I join a Union?	31	5023
637030	What can I do about Financial Aid?	31	5023
637031	Whats the best way to apply?	31	5023
637032	Whats the best way to network?	31	5023
637033	Where can I go for more assistance?	31	5023
637034	How do I become a  Financial Analysts	32	5023
637035	What education do I need and how do I get it (what schools/training program do you recommend)?	32	5023
637036	What skills do I need and how do I get  them?	32	5023
637037	Where can I get help on Immigration issues?	32	5023
637038	Where is most of the hiring?	32	5023
637039	Do I have to join a union? How do I join a Union?	32	5023
637040	What can I do about Financial Aid?	32	5023
637041	Whats the best way to apply?	32	5023
637042	Whats the best way to network?	32	5023
637043	Where can I go for more assistance?	32	5023
637044	How do I become a  Financial Examiners	33	5023
637045	What education do I need and how do I get it (what schools/training program do you recommend)?	33	5023
637046	What skills do I need and how do I get  them?	33	5023
637047	Where can I get help on Immigration issues?	33	5023
637048	Where is most of the hiring?	33	5023
637049	Do I have to join a union? How do I join a Union?	33	5023
637050	What can I do about Financial Aid?	33	5023
637051	Whats the best way to apply?	33	5023
637052	Whats the best way to network?	33	5023
637053	Where can I go for more assistance?	33	5023
637054	How do I become a  Human Resources Specialists	34	5023
637055	What education do I need and how do I get it (what schools/training program do you recommend)?	34	5023
637056	What skills do I need and how do I get  them?	34	5023
637057	Where can I get help on Immigration issues?	34	5023
637058	Where is most of the hiring?	34	5023
637059	Do I have to join a union? How do I join a Union?	34	5023
637060	What can I do about Financial Aid?	34	5023
637061	Whats the best way to apply?	34	5023
637062	Whats the best way to network?	34	5023
637063	Where can I go for more assistance?	34	5023
637064	How do I become a  Insurance Underwriters	35	5023
637065	What education do I need and how do I get it (what schools/training program do you recommend)?	35	5023
637066	What skills do I need and how do I get  them?	35	5023
637067	Where can I get help on Immigration issues?	35	5023
637068	Where is most of the hiring?	35	5023
637069	Do I have to join a union? How do I join a Union?	35	5023
637070	What can I do about Financial Aid?	35	5023
637071	Whats the best way to apply?	35	5023
637072	Whats the best way to network?	35	5023
637073	Where can I go for more assistance?	35	5023
637074	How do I become a  Loan Officers	36	5023
637075	What education do I need and how do I get it (what schools/training program do you recommend)?	36	5023
637076	What skills do I need and how do I get  them?	36	5023
637077	Where can I get help on Immigration issues?	36	5023
637078	Where is most of the hiring?	36	5023
637079	Do I have to join a union? How do I join a Union?	36	5023
637080	What can I do about Financial Aid?	36	5023
637081	Whats the best way to apply?	36	5023
637082	Whats the best way to network?	36	5023
637083	Where can I go for more assistance?	36	5023
637084	How do I become a  Logisticians	37	5023
637085	What education do I need and how do I get it (what schools/training program do you recommend)?	37	5023
637086	What skills do I need and how do I get  them?	37	5023
637087	Where can I get help on Immigration issues?	37	5023
637088	Where is most of the hiring?	37	5023
637089	Do I have to join a union? How do I join a Union?	37	5023
637090	What can I do about Financial Aid?	37	5023
637091	Whats the best way to apply?	37	5023
637092	Whats the best way to network?	37	5023
637093	Where can I go for more assistance?	37	5023
637094	How do I become a  Management Analysts	38	5023
637095	What education do I need and how do I get it (what schools/training program do you recommend)?	38	5023
637096	What skills do I need and how do I get  them?	38	5023
637097	Where can I get help on Immigration issues?	38	5023
637098	Where is most of the hiring?	38	5023
637099	Do I have to join a union? How do I join a Union?	38	5023
637100	What can I do about Financial Aid?	38	5023
637101	Whats the best way to apply?	38	5023
637102	Whats the best way to network?	38	5023
637103	Where can I go for more assistance?	38	5023
637104	How do I become a  Market Research Analysts	39	5023
637105	What education do I need and how do I get it (what schools/training program do you recommend)?	39	5023
637106	What skills do I need and how do I get  them?	39	5023
637107	Where can I get help on Immigration issues?	39	5023
637108	Where is most of the hiring?	39	5023
637109	Do I have to join a union? How do I join a Union?	39	5023
637110	What can I do about Financial Aid?	39	5023
637111	Whats the best way to apply?	39	5023
637112	Whats the best way to network?	39	5023
637113	Where can I go for more assistance?	39	5023
637114	"How do I become a  Meeting, Convention, and Event Planners"	40	5023
637115	What education do I need and how do I get it (what schools/training program do you recommend)?	40	5023
637116	What skills do I need and how do I get  them?	40	5023
637117	Where can I get help on Immigration issues?	40	5023
637118	Where is most of the hiring?	40	5023
637119	Do I have to join a union? How do I join a Union?	40	5023
637120	What can I do about Financial Aid?	40	5023
637121	Whats the best way to apply?	40	5023
637122	Whats the best way to network?	40	5023
637123	Where can I go for more assistance?	40	5023
637124	How do I become a  Personal Financial Advisors	41	5023
637125	What education do I need and how do I get it (what schools/training program do you recommend)?	41	5023
637126	What skills do I need and how do I get  them?	41	5023
637127	Where can I get help on Immigration issues?	41	5023
637128	Where is most of the hiring?	41	5023
637129	Do I have to join a union? How do I join a Union?	41	5023
637130	What can I do about Financial Aid?	41	5023
637131	Whats the best way to apply?	41	5023
637132	Whats the best way to network?	41	5023
637133	Where can I go for more assistance?	41	5023
637134	"How do I become a  Tax Examiners and Collectors, and Revenue Agents"	42	5023
637135	What education do I need and how do I get it (what schools/training program do you recommend)?	42	5023
637136	What skills do I need and how do I get  them?	42	5023
637137	Where can I get help on Immigration issues?	42	5023
637138	Where is most of the hiring?	42	5023
637139	Do I have to join a union? How do I join a Union?	42	5023
637140	What can I do about Financial Aid?	42	5023
637141	Whats the best way to apply?	42	5023
637142	Whats the best way to network?	42	5023
637143	Where can I go for more assistance?	42	5023
637144	How do I become a  Actuaries	43	5023
637145	What education do I need and how do I get it (what schools/training program do you recommend)?	43	5023
637146	What skills do I need and how do I get  them?	43	5023
637147	Where can I get help on Immigration issues?	43	5023
637148	Where is most of the hiring?	43	5023
637149	Do I have to join a union? How do I join a Union?	43	5023
637150	What can I do about Financial Aid?	43	5023
637151	Whats the best way to apply?	43	5023
637152	Whats the best way to network?	43	5023
637153	Where can I go for more assistance?	43	5023
637154	How do I become a  Computer and Information Research Scientists	44	5023
637155	What education do I need and how do I get it (what schools/training program do you recommend)?	44	5023
637156	What skills do I need and how do I get  them?	44	5023
637157	Where can I get help on Immigration issues?	44	5023
637158	Where is most of the hiring?	44	5023
637159	Do I have to join a union? How do I join a Union?	44	5023
637160	What can I do about Financial Aid?	44	5023
637161	Whats the best way to apply?	44	5023
637162	Whats the best way to network?	44	5023
637163	Where can I go for more assistance?	44	5023
637164	How do I become a  Computer Programmers	45	5023
637165	What education do I need and how do I get it (what schools/training program do you recommend)?	45	5023
637166	What skills do I need and how do I get  them?	45	5023
637167	Where can I get help on Immigration issues?	45	5023
637168	Where is most of the hiring?	45	5023
637169	Do I have to join a union? How do I join a Union?	45	5023
637170	What can I do about Financial Aid?	45	5023
637171	Whats the best way to apply?	45	5023
637172	Whats the best way to network?	45	5023
637173	Where can I go for more assistance?	45	5023
637174	How do I become a  Computer Support Specialists	46	5023
637175	What education do I need and how do I get it (what schools/training program do you recommend)?	46	5023
637176	What skills do I need and how do I get  them?	46	5023
637177	Where can I get help on Immigration issues?	46	5023
637178	Where is most of the hiring?	46	5023
637179	Do I have to join a union? How do I join a Union?	46	5023
637180	What can I do about Financial Aid?	46	5023
637181	Whats the best way to apply?	46	5023
637182	Whats the best way to network?	46	5023
637183	Where can I go for more assistance?	46	5023
637184	How do I become a  Computer Systems Analysts	47	5023
637185	What education do I need and how do I get it (what schools/training program do you recommend)?	47	5023
637186	What skills do I need and how do I get  them?	47	5023
637187	Where can I get help on Immigration issues?	47	5023
637188	Where is most of the hiring?	47	5023
637189	Do I have to join a union? How do I join a Union?	47	5023
637190	What can I do about Financial Aid?	47	5023
637191	Whats the best way to apply?	47	5023
637192	Whats the best way to network?	47	5023
637193	Where can I go for more assistance?	47	5023
637194	How do I become a  Database Administrators	48	5023
637195	What education do I need and how do I get it (what schools/training program do you recommend)?	48	5023
637196	What skills do I need and how do I get  them?	48	5023
637197	Where can I get help on Immigration issues?	48	5023
637198	Where is most of the hiring?	48	5023
637199	Do I have to join a union? How do I join a Union?	48	5023
637200	What can I do about Financial Aid?	48	5023
637201	Whats the best way to apply?	48	5023
637202	Whats the best way to network?	48	5023
637203	Where can I go for more assistance?	48	5023
637204	"How do I become a  Information Security Analysts, Web Developers, and Computer Network Architects"	49	5023
637205	What education do I need and how do I get it (what schools/training program do you recommend)?	49	5023
637206	What skills do I need and how do I get  them?	49	5023
637207	Where can I get help on Immigration issues?	49	5023
637208	Where is most of the hiring?	49	5023
637209	Do I have to join a union? How do I join a Union?	49	5023
637210	What can I do about Financial Aid?	49	5023
637211	Whats the best way to apply?	49	5023
637212	Whats the best way to network?	49	5023
637213	Where can I go for more assistance?	49	5023
637214	How do I become a  Mathematicians	50	5023
637215	What education do I need and how do I get it (what schools/training program do you recommend)?	50	5023
637216	What skills do I need and how do I get  them?	50	5023
637217	Where can I get help on Immigration issues?	50	5023
637218	Where is most of the hiring?	50	5023
637219	Do I have to join a union? How do I join a Union?	50	5023
637220	What can I do about Financial Aid?	50	5023
637221	Whats the best way to apply?	50	5023
637222	Whats the best way to network?	50	5023
637223	Where can I go for more assistance?	50	5023
637224	How do I become a  Network and Computer Systems Administrators	51	5023
637225	What education do I need and how do I get it (what schools/training program do you recommend)?	51	5023
637226	What skills do I need and how do I get  them?	51	5023
637227	Where can I get help on Immigration issues?	51	5023
637228	Where is most of the hiring?	51	5023
637229	Do I have to join a union? How do I join a Union?	51	5023
637230	What can I do about Financial Aid?	51	5023
637231	Whats the best way to apply?	51	5023
637232	Whats the best way to network?	51	5023
637233	Where can I go for more assistance?	51	5023
637234	How do I become a  Operations Research Analysts	52	5023
637235	What education do I need and how do I get it (what schools/training program do you recommend)?	52	5023
637236	What skills do I need and how do I get  them?	52	5023
637237	Where can I get help on Immigration issues?	52	5023
637238	Where is most of the hiring?	52	5023
637239	Do I have to join a union? How do I join a Union?	52	5023
637240	What can I do about Financial Aid?	52	5023
637241	Whats the best way to apply?	52	5023
637242	Whats the best way to network?	52	5023
637243	Where can I go for more assistance?	52	5023
637244	How do I become a  Software Developers	53	5023
637245	What education do I need and how do I get it (what schools/training program do you recommend)?	53	5023
637246	What skills do I need and how do I get  them?	53	5023
637247	Where can I get help on Immigration issues?	53	5023
637248	Where is most of the hiring?	53	5023
637249	Do I have to join a union? How do I join a Union?	53	5023
637250	What can I do about Financial Aid?	53	5023
637251	Whats the best way to apply?	53	5023
637252	Whats the best way to network?	53	5023
637253	Where can I go for more assistance?	53	5023
637254	How do I become a  Statisticians	54	5023
637255	What education do I need and how do I get it (what schools/training program do you recommend)?	54	5023
637256	What skills do I need and how do I get  them?	54	5023
637257	Where can I get help on Immigration issues?	54	5023
637258	Where is most of the hiring?	54	5023
637259	Do I have to join a union? How do I join a Union?	54	5023
637260	What can I do about Financial Aid?	54	5023
637261	Whats the best way to apply?	54	5023
637262	Whats the best way to network?	54	5023
637263	Where can I go for more assistance?	54	5023
637264	How do I become a  Aerospace Engineering and Operations Technicians	55	5023
637265	What education do I need and how do I get it (what schools/training program do you recommend)?	55	5023
637266	What skills do I need and how do I get  them?	55	5023
637267	Where can I get help on Immigration issues?	55	5023
637268	Where is most of the hiring?	55	5023
637269	Do I have to join a union? How do I join a Union?	55	5023
637270	What can I do about Financial Aid?	55	5023
637271	Whats the best way to apply?	55	5023
637272	Whats the best way to network?	55	5023
637273	Where can I go for more assistance?	55	5023
637274	How do I become a  Aerospace Engineers	56	5023
637275	What education do I need and how do I get it (what schools/training program do you recommend)?	56	5023
637276	What skills do I need and how do I get  them?	56	5023
637277	Where can I get help on Immigration issues?	56	5023
637278	Where is most of the hiring?	56	5023
637279	Do I have to join a union? How do I join a Union?	56	5023
637280	What can I do about Financial Aid?	56	5023
637281	Whats the best way to apply?	56	5023
637282	Whats the best way to network?	56	5023
637283	Where can I go for more assistance?	56	5023
637284	How do I become a  Agricultural Engineers	57	5023
637285	What education do I need and how do I get it (what schools/training program do you recommend)?	57	5023
637286	What skills do I need and how do I get  them?	57	5023
637287	Where can I get help on Immigration issues?	57	5023
637288	Where is most of the hiring?	57	5023
637289	Do I have to join a union? How do I join a Union?	57	5023
637290	What can I do about Financial Aid?	57	5023
637291	Whats the best way to apply?	57	5023
637292	Whats the best way to network?	57	5023
637293	Where can I go for more assistance?	57	5023
637294	How do I become a  Architects	58	5023
637295	What education do I need and how do I get it (what schools/training program do you recommend)?	58	5023
637296	What skills do I need and how do I get  them?	58	5023
637297	Where can I get help on Immigration issues?	58	5023
637298	Where is most of the hiring?	58	5023
637299	Do I have to join a union? How do I join a Union?	58	5023
637300	What can I do about Financial Aid?	58	5023
637301	Whats the best way to apply?	58	5023
637302	Whats the best way to network?	58	5023
637303	Where can I go for more assistance?	58	5023
637304	How do I become a  Biomedical Engineers	59	5023
637305	What education do I need and how do I get it (what schools/training program do you recommend)?	59	5023
637306	What skills do I need and how do I get  them?	59	5023
637307	Where can I get help on Immigration issues?	59	5023
637308	Where is most of the hiring?	59	5023
637309	Do I have to join a union? How do I join a Union?	59	5023
637310	What can I do about Financial Aid?	59	5023
637311	Whats the best way to apply?	59	5023
637312	Whats the best way to network?	59	5023
637313	Where can I go for more assistance?	59	5023
637314	How do I become a  Cartographers and Photogrammetrists	60	5023
637315	What education do I need and how do I get it (what schools/training program do you recommend)?	60	5023
637316	What skills do I need and how do I get  them?	60	5023
637317	Where can I get help on Immigration issues?	60	5023
637318	Where is most of the hiring?	60	5023
637319	Do I have to join a union? How do I join a Union?	60	5023
637320	What can I do about Financial Aid?	60	5023
637321	Whats the best way to apply?	60	5023
637322	Whats the best way to network?	60	5023
637323	Where can I go for more assistance?	60	5023
637324	How do I become a  Chemical Engineers	61	5023
637325	What education do I need and how do I get it (what schools/training program do you recommend)?	61	5023
637326	What skills do I need and how do I get  them?	61	5023
637327	Where can I get help on Immigration issues?	61	5023
637328	Where is most of the hiring?	61	5023
637329	Do I have to join a union? How do I join a Union?	61	5023
637330	What can I do about Financial Aid?	61	5023
637331	Whats the best way to apply?	61	5023
